Nombre,Slug,Tipo_actual,Tipo_propuesto,Servicio_1,Servicio_2,Servicio_3
"RUSFIT SPORTCENTER",rusfit-sportcenter,yoga,pilates,"Yoga","Pilates",""
"S2Fitness Sports Center",s2fitness-sports-center,yoga,pilates,"Yoga","Pilates",""
"SADHANA Yoga Shri Vivek & Massatge Ayurveda",sadhana-yoga-shri-vivek-massatge-ayurved,meditation,ayurveda,"Ayurveda","Yoga","Pilates"
"Sakura",sakura,yoga,yoga,"Yoga","Pilates",""
"Sakura Vera",sakura-vera,yoga,yoga,"Yoga","Pilates",""
"Salud Natural Herbolario",salud-natural-herbolario,meditation,ayurveda,"Ayurveda","Yoga","Pilates"
"Salud Natural Leganés S.L.U",salud-natural-leganes-s-l-u,meditation,ayurveda,"Ayurveda","Yoga","Pilates"
"Salud Sport Fisioterapia y Entrenador Personal",salud-sport-fisioterapia-y-entrenador-pe,yoga,yoga,"Yoga","Pilates",""
"Salutalia - Centro Holístico y Welness",salutalia-centro-holistico-y-welness,yoga,yoga,"Yoga","Pilates",""
"Samaveda; Ayurveda, Masajes, Alimentación, Yoga",samaveda-ayurveda-masajes-alimentacion-y,meditation,ayurveda,"Ayurveda","Yoga","Pilates"
"Sandaili Plantas Medicinales-Terapias Naturales",sandaili-plantas-medicinales-terapias-na,meditation,ayurveda,"Ayurveda","Yoga","Pilates"
"SANO Adra - Entrenamiento Personal y Grupos Reducidos",sano-adra-entrenamiento-personal-y-grupo,yoga,pilates,"Yoga","Pilates",""
"SANO Antequera Albarizas - Entrenamiento Personal y Grupos Reducidos",sano-antequera-albarizas-entrenamiento-p,yoga,pilates,"Yoga","Pilates",""
"SANO Berja - Entrenamiento Personal y Grupos Reducidos",sano-berja-entrenamiento-personal-y-grup,yoga,pilates,"Yoga","Pilates",""
"SANO Burgos - Entrenamiento Personal y Grupos Reducidos",sano-burgos-entrenamiento-personal-y-gru,yoga,pilates,"Yoga","Pilates",""
"Sano Úbeda",sano-ubeda,yoga,yoga,"Yoga","Pilates",""
"Sant Pau Centre Terapèutic",sant-pau-centre-terapeutic,meditation,ayurveda,"Ayurveda","Yoga","Pilates"
"Santosha Centro de Yoga",santosha-centro-de-yoga,yoga,yoga,"Yoga","Pilates",""
"Sanus Mujer",sanus-mujer,yoga_meditation,pilates,"Yoga","Pilates",""
"SasiThai Thai Massage Madrid",sasithai-thai-massage-madrid,meditation,ayurveda,"Ayurveda","Yoga","Pilates"
"School3s Surf School Lanzarote",school3s-surf-school-lanzarote,yoga,yoga,"Yoga","Pilates",""
"SCV wiva lab",scv-wiva-lab,yoga,pilates,"Yoga","Pilates",""
"Sergiolistico",sergiolistico,meditation,ayurveda,"Ayurveda","Yoga","Pilates"
"Seven Seas",seven-seas,meditation,ayurveda,"Ayurveda","Yoga","Pilates"
"Shakti YOGA",shakti-yoga,meditation,ayurveda,"Ayurveda","Yoga","Pilates"
"Shama Yoga Studio",shama-yoga-studio,meditation,ayurveda,"Ayurveda","Yoga","Pilates"
"SHAMATHA CENTRO HOLÍSTICO",shamatha-centro-holistico,meditation,ayurveda,"Ayurveda","Yoga","Pilates"
"Shantala Ayurveda Bilbao",shantala-ayurveda-bilbao,meditation,ayurveda,"Ayurveda","Yoga","Pilates"
"Shanti Masajes Tenerife",shanti-masajes-tenerife,meditation,ayurveda,"Ayurveda","Yoga","Pilates"
"SHARMA - Escuela Yoga y Pilates",sharma-escuela-yoga-y-pilates,yoga,yoga,"Yoga","Pilates",""
"Shiva center Torrox",shiva-center-torrox,meditation,ayurveda,"Ayurveda","Yoga","Pilates"
"Shivaratri Yoga",shivaratri-yoga,yoga,yoga,"Yoga","Pilates",""
"Shock Fitness Center",shock-fitness-center,yoga,yoga,"Yoga","Pilates",""
"Siente Ayurveda",siente-ayurveda,meditation,ayurveda,"Ayurveda","Yoga","Pilates"
"Siente Yoga",siente-yoga,yoga,yoga,"Yoga","Pilates",""
"Silentia Spa & Wellness",silentia-spa-wellness,spa,ayurveda,"Ayurveda","Spa",""
"Sincronia Yoga | Gràcia Barcelona",sincronia-yoga-gracia-barcelona,yoga,yoga,"Yoga","Pilates",""
"SINGULAR Home of Pilates",singular-home-of-pilates,yoga,pilates,"Yoga","Pilates",""
"Slow House sa mayma | Nature, Relax & Yoga",slow-house-sa-mayma-nature-relax-yoga,yoga,yoga,"Yoga","Pilates",""
"Soccer Indoor",soccer-indoor,yoga,yoga,"Yoga","Pilates",""
"Sol Viegas Iyengar Yoga & Massage",sol-viegas-iyengar-yoga-massage,yoga,yoga,"Yoga","Pilates",""
"Sonia Casado Escuela de Yoga",sonia-casado-escuela-de-yoga,yoga,yoga,"Yoga","Pilates",""
"Sonia Franco Terapia manual . Quiromasaje, Osteopatía, Masaje ayurveda, Aromaterapia.",sonia-franco-terapia-manual-quiromasaje-,meditation,ayurveda,"Ayurveda","Yoga","Pilates"
"Spa Centro de Vinoterapia BeautyFORYOU - Tenerife",spa-centro-de-vinoterapia-beautyforyou-t,spa,ayurveda,"Ayurveda","Spa",""
"SPA Sensations Iberostar Heritage Grand Mencey",spa-sensations-iberostar-heritage-grand-,spa,ayurveda,"Ayurveda","Spa",""
"Spa urbano Serenità",spa-urbano-serenita,meditation,ayurveda,"Ayurveda","Yoga","Pilates"
"Specialty Center Sports Javier Bermejo Merino",specialty-center-sports-javier-bermejo-m,yoga,pilates,"Yoga","Pilates",""
"Spirit Yoga",spirit-yoga,yoga,yoga,"Yoga","Pilates",""
"Spiritual Veda Masajes & Tratamientos Ayurveda",spiritual-veda-masajes-tratamientos-ayur,meditation,ayurveda,"Ayurveda","Yoga","Pilates"
"Sport Studio Gym",sport-studio-gym,yoga,yoga,"Yoga","Pilates",""
"Sportland Gimnasio & Balneario Urbano",sportland-gimnasio-balneario-urbano,yoga,pilates,"Yoga","Pilates",""
"Sports Complex Prado Real",sports-complex-prado-real,yoga,yoga,"Yoga","Pilates",""
"Star Fit Pilates Ibiza",star-fit-pilates-ibiza,yoga,yoga,"Yoga","Pilates",""
"STUDIO DE PILATES MIREYA IRURZUN",studio-de-pilates-mireya-irurzun,yoga,yoga,"Yoga","Pilates",""
"STUDIO PILATES Anabel Manjón",studio-pilates-anabel-manjon,yoga,yoga,"Yoga","Pilates",""
"Studio Pilates Body&Mind y PEQUESPA",studio-pilates-body-mind-y-pequespa,yoga,yoga,"Yoga","Pilates",""
"Studio Pilates Majadahonda",studio-pilates-majadahonda,yoga,pilates,"Yoga","Pilates",""
"Studio Pilates Natalia",studio-pilates-natalia,yoga,yoga,"Yoga","Pilates",""
"Sukha Masajes",sukha-masajes,meditation,ayurveda,"Ayurveda","Yoga","Pilates"
"SUP FIT YOGA – Paddle Surf, SUP Yoga y Retiros de Yoga en Gran Canaria",sup-fit-yoga-paddle-surf-sup-yoga-y-reti,yoga,yoga,"Yoga","Pilates",""
"Surf & Yoga Retreats Fuerteventura",surf-yoga-retreats-fuerteventura,yoga,yoga,"Yoga","Pilates",""
"SURYA BIKEPACKING",surya-bikepacking,yoga,yoga,"Yoga","Pilates",""
"Surya Yoga",surya-yoga,yoga,yoga,"Yoga","Pilates",""
"Surya Yoga&Masaje Tenerife",surya-yoga-masaje-tenerife,meditation,ayurveda,"Ayurveda","Yoga","Pilates"
"SYNERGIE PILATES STUDIO DONOSTIA 🌱",synergie-pilates-studio-donostia,yoga,pilates,"Yoga","Pilates",""
"Synergym",synergym-3,yoga,pilates,"Yoga","Pilates",""
"Synergym",synergym-1,yoga,pilates,"Yoga","Pilates",""
"Synergym",synergym,yoga,pilates,"Yoga","Pilates",""
